Location,Area,No. of Bedrooms,Price
Kharghar,720,1,4850000
Kharghar,600,1,4500000
Kharghar,650,1,6700000
Kharghar,650,1,4500000
Kharghar,665,1,5000000
Kharghar,2000,4,17000000
Kharghar,1550,3,12500000
Sector-13 Kharghar,1370,3,10500000
Kharghar,1356,3,10500000
Kharghar,1680,3,15000000
Kharghar,980,2,8700000
Kharghar,1000,2,9000000
Kharghar,1060,2,11000000
Kharghar,1095,2,10500000
Kharghar,1155,2,9700000
Kharghar,1150,2,10500000
Sector 18 Kharghar,1250,2,8000000
Kharghar,990,2,8500000
Kharghar,1078,2,9300000
Kharghar,1150,2,9900000
Kharghar,1150,2,8000000
Kharghar,1060,2,9000000
Kharghar,680,1,4200000
Kharghar,2470,4,28000000
Kharghar,2100,4,40000000
Kharghar,2200,4,16000000
Kharghar,2235,4,17000000
Kharghar,1025,2,9500000
Kharghar,950,2,9500000
Kharghar,895,2,7500000
Kharghar,1114,2,8500000
Kharghar,1197,2,13000000
Kharghar,1380,2,13700000
Kharghar,1050,2,8000000
Kharghar,1240,2,10500000
Kharghar,1110,2,7700000
Kharghar,1050,2,7500000
Kharghar,1160,2,9000000
Kharghar,1078,2,9300000
Kharghar,555,1,6000000
Kharghar,650,1,6200000
Kharghar,600,1,5000000
Kharghar,650,1,6500000
Kharghar,700,1,5200000
Kharghar,646,1,4200000
Kharghar,560,1,5500000
Kharghar,670,1,5500000
Kharghar,740,1,6000000
Kharghar,636,1,5500000
Kharghar,680,1,4200000
Kharghar,1635,3,16500000
Kharghar,1550,3,11399999
Kharghar,1500,3,13500000
Kharghar,1850,3,22500000
Kharghar,2100,4,40000000
Kharghar,610,1,5700000
Kharghar,655,1,4800000
Kharghar,660,1,4500000
Kharghar,650,1,4300000
Kharghar,680,1,4500000
Kharghar,670,1,5300000
Kharghar,655,1,4803000
Kharghar,1800,3,13000000
Kharghar,1645,3,15500000
Kharghar,1395,3,13000000
Kharghar,1150,2,8500000
Kharghar,1200,2,9400000
Kharghar,1150,2,8000000
Kharghar,615,1,4500000
Kharghar,670,1,5300000
Kharghar,765,1,6000000
Kharghar,650,1,5600000
Kharghar,655,1,4803000
Kharghar,1760,3,17500000
Kharghar,1415,3,12000000
Kharghar,1685,3,15000000
Kharghar,1800,3,13000000
Kharghar,1650,3,16600000
Kharghar,1395,3,13000000
Kharghar,1200,2,9400000
Kharghar,1650,3,16600000
Kharghar,1395,3,13000000
Kharghar,1200,2,9400000
Kharghar,1150,2,8000000
Kharghar,650,1,5700000
Kharghar,560,1,5500000
Kharghar,765,1,6000000
Kharghar,650,1,5600000
Kharghar,655,1,4900000
Kharghar,1390,3,13500000
Kharghar,1590,3,22000000
Kharghar,1760,3,17500000
Kharghar,1716,3,17800000
Kharghar,1680,3,14000000
Kharghar,1050,2,7200000
Kharghar,1100,2,7000000
Kharghar,1635,3,15000000
Kharghar,1078,2,10000000
Kharghar,1760,3,17500000
Kharghar,1415,3,11000000
Kharghar,1800,3,13000000
Kharghar,1147,2,12500000
Kharghar,1197,2,13000000
Kharghar,1300,3,15000000
Kharghar,1050,2,7500000
Kharghar,1240,2,9500000
Kharghar,1160,2,9000000
Kharghar,650,1,6200000
Kharghar,650,1,5500000
Sector 20 Kharghar,600,1,5000000
Kharghar,550,1,5000000
Kharghar,550,1,5500000
